frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,3.65,-2.09,3.65,-2.09,2.09,-1.60,-0.78,5.74,5.74,5.73
20.20,3.76,-1.98,3.76,-1.98,1.98,-1.60,-0.80,5.74,5.74,5.73
20.40,3.87,-1.88,3.87,-1.88,1.88,-1.60,-0.83,5.75,5.75,5.75
20.61,3.97,-1.78,3.98,-1.78,1.77,-1.60,-0.85,5.75,5.75,5.75
20.81,4.09,-1.67,4.09,-1.67,1.67,-1.61,-0.88,5.76,5.76,5.76
21.02,4.20,-1.57,4.20,-1.57,1.57,-1.61,-0.90,5.76,5.76,5.76
21.23,4.31,-1.46,4.30,-1.46,1.46,-1.61,-0.93,5.77,5.77,5.77
21.44,4.42,-1.36,4.42,-1.36,1.36,-1.61,-0.96,5.77,5.77,5.78
21.66,4.52,-1.26,4.53,-1.25,1.25,-1.62,-0.98,5.77,5.78,5.78
21.87,4.65,-1.14,4.64,-1.15,1.15,-1.62,-1.01,5.79,5.79,5.79
22.09,4.76,-1.04,4.76,-1.04,1.04,-1.62,-1.04,5.80,5.80,5.80
22.31,4.87,-0.94,4.87,-0.93,0.94,-1.63,-1.07,5.81,5.81,5.80
22.54,4.97,-0.83,4.98,-0.83,0.84,-1.63,-1.11,5.81,5.81,5.80
22.76,5.09,-0.73,5.08,-0.73,0.74,-1.64,-1.14,5.82,5.82,5.82
22.99,5.19,-0.64,5.19,-0.64,0.63,-1.64,-1.17,5.82,5.82,5.82
23.22,5.30,-0.54,5.30,-0.54,0.53,-1.64,-1.20,5.83,5.83,5.83
23.45,5.41,-0.44,5.40,-0.44,0.44,-1.65,-1.24,5.84,5.84,5.85
23.69,5.51,-0.34,5.52,-0.34,0.34,-1.65,-1.27,5.85,5.85,5.85
23.92,5.63,-0.24,5.63,-0.24,0.24,-1.66,-1.31,5.87,5.87,5.87
24.16,5.74,-0.14,5.74,-0.14,0.14,-1.66,-1.35,5.88,5.88,5.88
24.40,5.85,-0.04,5.85,-0.04,0.05,-1.67,-1.38,5.89,5.89,5.89
24.65,5.95,0.05,5.95,0.05,-0.05,-1.67,-1.42,5.90,5.90,5.90
