frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,6.79,3.82,6.79,3.83,-3.83,-4.20,-2.20,2.96,2.96,2.96
20.20,6.82,3.85,6.81,3.85,-3.85,-4.20,-2.26,2.97,2.97,2.96
20.40,6.85,3.87,6.84,3.87,-3.87,-4.21,-2.32,2.98,2.97,2.97
20.61,6.87,3.89,6.87,3.90,-3.90,-4.22,-2.39,2.98,2.98,2.98
20.81,6.91,3.92,6.91,3.92,-3.92,-4.24,-2.45,2.98,2.99,2.98
21.02,6.95,3.95,6.95,3.96,-3.95,-4.25,-2.52,2.99,2.99,2.99
21.23,6.99,3.99,6.98,3.99,-3.98,-4.26,-2.60,3.00,3.00,2.99
21.44,7.03,4.02,7.02,4.02,-4.02,-4.28,-2.67,3.01,3.01,3.00
21.66,7.06,4.05,7.07,4.06,-4.06,-4.29,-2.74,3.01,3.01,3.01
21.87,7.11,4.09,7.11,4.09,-4.10,-4.31,-2.82,3.01,3.01,3.01
22.09,7.16,4.13,7.15,4.13,-4.14,-4.32,-2.90,3.02,3.01,3.02
22.31,7.21,4.17,7.21,4.18,-4.18,-4.34,-2.98,3.02,3.02,3.03
22.54,7.26,4.23,7.27,4.23,-4.23,-4.36,-3.07,3.04,3.04,3.03
22.76,7.33,4.28,7.32,4.28,-4.27,-4.38,-3.15,3.05,3.05,3.04
22.99,7.39,4.33,7.38,4.33,-4.32,-4.40,-3.24,3.06,3.06,3.05
23.22,7.44,4.37,7.43,4.37,-4.37,-4.42,-3.33,3.07,3.07,3.06
23.45,7.49,4.41,7.49,4.41,-4.42,-4.44,-3.42,3.07,3.07,3.07
23.69,7.53,4.45,7.54,4.46,-4.46,-4.46,-3.52,3.07,3.08,3.08
23.92,7.60,4.50,7.59,4.50,-4.50,-4.48,-3.61,3.09,3.09,3.09
24.16,7.65,4.54,7.65,4.55,-4.55,-4.51,-3.71,3.10,3.10,3.10
24.40,7.71,4.59,7.71,4.59,-4.59,-4.53,-3.81,3.12,3.12,3.11
24.65,7.76,4.63,7.76,4.63,-4.63,-4.56,-3.91,3.14,3.14,3.13
24.89,7.82,4.67,7.81,4.67,-4.67,-4.58,-4.01,3.15,3.15,3.14
25.14,7.86,4.70,7.86,4.71,-4.71,-4.61,-4.12,3.15,3.15,3.15
25.39,7.91,4.74,7.91,4.74,-4.75,-4.63,-4.22,3.16,3.15,3.16
25.65,7.96,4.78,7.96,4.78,-4.79,-4.66,-4.33,3.16,3.16,3.17
25.91,8.01,4.82,8.02,4.83,-4.83,-4.69,-4.43,3.18,3.18,3.19
26.16,8.08,4.87,8.08,4.87,-4.87,-4.72,-4.54,3.20,3.20,3.20
26.43,8.13,4.92,8.13,4.92,-4.91,-4.74,-4.64,3.22,3.22,3.21
26.69,8.19,4.96,8.18,4.96,-4.95,-4.77,-4.75,3.24,3.23,3.22
26.96,8.22,4.98,8.23,4.99,-4.98,-4.80,-4.85,3.24,3.25,3.24
27.23,8.26,5.01,8.27,5.01,-5.01,-4.83,-4.95,3.26,3.26,3.25
27.50,8.31,5.03,8.30,5.03,-5.03,-4.86,-5.06,3.27,3.27,3.27
27.77,8.34,5.05,8.34,5.05,-5.05,-4.89,-5.16,3.29,3.29,3.28
28.05,8.37,5.06,8.37,5.07,-5.06,-4.93,-5.25,3.30,3.30,3.30
28.33,8.40,5.08,8.39,5.08,-5.08,-4.96,-5.34,3.32,3.31,3.31
28.62,8.42,5.08,8.42,5.09,-5.10,-4.99,-5.43,3.32,3.32,3.33
28.90,8.45,5.10,8.45,5.10,-5.11,-5.02,-5.52,3.33,3.34,3.34
29.19,8.49,5.12,8.48,5.12,-5.13,-5.05,-5.60,3.36,3.35,3.36
29.48,8.52,5.14,8.52,5.15,-5.14,-5.09,-5.68,3.37,3.38,3.37
29.78,8.55,5.16,8.56,5.17,-5.16,-5.12,-5.75,3.40,3.40,3.39
30.08,8.59,5.19,8.59,5.18,-5.17,-5.16,-5.81,3.42,3.42,3.40
30.38,8.62,5.19,8.62,5.19,-5.18,-5.19,-5.87,3.43,3.43,3.42
30.68,8.64,5.20,8.63,5.20,-5.19,-5.22,-5.92,3.44,3.44,3.43
30.99,8.65,5.19,8.65,5.20,-5.21,-5.26,-5.97,3.44,3.44,3.45
31.30,8.67,5.20,8.67,5.20,-5.22,-5.29,-6.01,3.45,3.45,3.46
31.61,8.70,5.21,8.70,5.22,-5.23,-5.33,-6.04,3.47,3.47,3.48
31.93,8.73,5.24,8.74,5.24,-5.24,-5.36,-6.07,3.49,3.49,3.49
32.24,8.78,5.26,8.77,5.26,-5.25,-5.40,-6.09,3.52,3.52,3.51
32.57,8.81,5.28,8.80,5.28,-5.27,-5.44,-6.11,3.54,3.53,3.52
32.89,8.83,5.28,8.83,5.29,-5.28,-5.47,-6.12,3.54,3.55,3.54
33.22,8.87,5.31,8.86,5.31,-5.30,-5.51,-6.12,3.56,3.56,3.55
33.55,8.90,5.32,8.89,5.32,-5.32,-5.54,-6.12,3.58,3.57,3.57
33.89,8.93,5.34,8.92,5.34,-5.34,-5.58,-6.12,3.59,3.58,3.58
34.23,8.95,5.34,8.95,5.35,-5.36,-5.62,-6.11,3.58,3.59,3.60
34.57,9.00,5.38,8.99,5.38,-5.39,-5.65,-6.10,3.60,3.60,3.61
34.92,9.04,5.42,9.05,5.42,-5.43,-5.69,-6.09,3.61,3.62,3.62
35.27,9.11,5.47,9.11,5.47,-5.48,-5.73,-6.07,3.64,3.64,3.64
35.62,9.18,5.52,9.18,5.52,-5.53,-5.77,-6.05,3.65,3.65,3.65
35.97,9.25,5.58,9.25,5.58,-5.58,-5.80,-6.03,3.67,3.67,3.66
36.33,9.32,5.64,9.32,5.65,-5.64,-5.84,-6.01,3.68,3.68,3.67
36.70,9.39,5.71,9.39,5.71,-5.70,-5.88,-5.99,3.69,3.69,3.68
37.06,9.47,5.77,9.47,5.77,-5.77,-5.91,-5.97,3.70,3.70,3.69
37.43,9.54,5.83,9.54,5.83,-5.83,-5.95,-5.96,3.70,3.70,3.70
37.81,9.61,5.89,9.60,5.89,-5.90,-5.99,-5.94,3.71,3.71,3.71
