frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,2.83,-0.71,2.83,-0.71,0.71,-0.29,-0.39,3.54,3.53,3.54
20.20,2.87,-0.67,2.87,-0.67,0.67,-0.29,-0.41,3.54,3.54,3.54
20.40,2.92,-0.63,2.92,-0.63,0.63,-0.30,-0.42,3.55,3.55,3.55
20.61,2.97,-0.59,2.97,-0.59,0.59,-0.31,-0.43,3.56,3.56,3.56
20.81,3.02,-0.54,3.02,-0.54,0.55,-0.31,-0.44,3.57,3.56,3.56
21.02,3.06,-0.51,3.06,-0.50,0.50,-0.32,-0.46,3.56,3.57,3.57
21.23,3.11,-0.46,3.11,-0.46,0.46,-0.33,-0.47,3.57,3.57,3.57
21.44,3.16,-0.42,3.16,-0.42,0.42,-0.34,-0.49,3.58,3.57,3.58
21.66,3.21,-0.38,3.21,-0.37,0.37,-0.35,-0.50,3.58,3.58,3.59
21.87,3.26,-0.33,3.26,-0.33,0.32,-0.35,-0.52,3.58,3.59,3.59
22.09,3.32,-0.28,3.32,-0.28,0.28,-0.36,-0.53,3.60,3.59,3.60
22.31,3.37,-0.23,3.37,-0.23,0.23,-0.37,-0.55,3.60,3.60,3.61
22.54,3.43,-0.18,3.43,-0.18,0.18,-0.38,-0.56,3.61,3.61,3.61
22.76,3.49,-0.12,3.49,-0.13,0.13,-0.39,-0.58,3.62,3.62,3.62
22.99,3.54,-0.08,3.54,-0.08,0.08,-0.40,-0.60,3.62,3.63,3.62
23.22,3.60,-0.03,3.60,-0.04,0.04,-0.41,-0.62,3.64,3.63,3.63
23.45,3.65,0.01,3.65,0.00,-0.01,-0.42,-0.63,3.64,3.64,3.64
23.69,3.70,0.05,3.70,0.05,-0.05,-0.43,-0.65,3.65,3.65,3.65
23.92,3.76,0.10,3.76,0.10,-0.10,-0.44,-0.67,3.67,3.67,3.66
24.16,3.82,0.15,3.82,0.14,-0.14,-0.45,-0.69,3.68,3.68,3.67
24.40,3.87,0.19,3.87,0.18,-0.18,-0.46,-0.71,3.70,3.69,3.68
24.65,3.91,0.21,3.91,0.21,-0.21,-0.47,-0.73,3.70,3.70,3.70
24.89,3.95,0.24,3.95,0.24,-0.25,-0.48,-0.75,3.70,3.70,3.71
25.14,4.00,0.28,4.00,0.28,-0.29,-0.49,-0.77,3.71,3.72,3.72
25.39,4.05,0.32,4.05,0.32,-0.32,-0.51,-0.79,3.73,3.73,3.73
25.65,4.11,0.37,4.10,0.36,-0.35,-0.52,-0.81,3.76,3.75,3.74
25.91,4.15,0.39,4.15,0.39,-0.39,-0.53,-0.83,3.76,3.76,3.76
26.16,4.19,0.42,4.19,0.42,-0.42,-0.54,-0.86,3.77,3.77,3.77
26.43,4.23,0.45,4.23,0.45,-0.46,-0.56,-0.88,3.77,3.77,3.78
